Released,Title,"Maximum
Theaters","Infl. Adj. Dom.
Box Office",space_theme
12/22/2017,*Downsizing*,2668,28570396,FALSE
1/26/2018,*Maze Runner: The Death Cure*,3793,67078111,FALSE
2/23/2018,*Annihilation*,2112,37834374,FALSE
3/23/2018,*Pacific Rim: Uprising*,3708,69207330,TRUE
3/29/2018,*Ready Player One*,4234,159152305,FALSE
4/13/2018,*Rampage*,4115,116775773,FALSE
5/25/2018,*Solo: A Star Wars Story*,4381,247088019,TRUE
6/22/2018,*Jurassic World: Fallen Kingdom*,4485,482830858,FALSE
8/10/2018,*The Meg*,4118,168114451,FALSE
9/14/2018,*The Predator*,4070,58978067,TRUE
12/14/2018,*Mortal Engines*,3103,18430691,FALSE
12/21/2018,*Bumblebee*,3597,146670032,TRUE
2/14/2019,*Alita: Battle Angel*,3802,98672534,FALSE
5/31/2019,*Godzilla: King of the Monsters*,4108,127026907,FALSE
6/14/2019,*Men in Black: International*,4224,91967135,TRUE
9/20/2019,*Ad Astra*,3460,57694702,TRUE
10/11/2019,*Gemini Man*,3642,55807578,FALSE
11/1/2019,*Terminator: Dark Fate*,4086,71563849,FALSE
12/13/2019,*Jumanji: The Next Level*,4227,360407983,FALSE
12/20/2019,*Star Wars: The Rise of Skywalker*,4406,588455698,TRUE
1/10/2020,*Underwater*,2791,19349096,FALSE
8/14/2020,*Project Power*,0,0,
9/3/2020,*Tenet*,2930,65418404,
12/18/2020,*Monster Hunter*,1817,15886569,
12/23/2020,*The Midnight Sky*,0,0,
3/5/2021,*Chaos Walking*,2132,13454002,
3/31/2021,*Godzilla vs. Kong*,3084,102177550,
5/14/2021,*Army of the Dead*,0,0,
5/28/2021,*A Quiet Place: Part II*,3744,162218462,
7/2/2021,*The Tomorrow War*,0,0,
8/20/2021,*Reminiscence*,3265,3948950,
10/22/2021,*Dune*,4125,109667528,TRUE
11/19/2021,*Ghostbusters: Afterlife*,4315,130890311,
12/22/2021,*The Matrix Resurrections*,3552,40463197,
2/4/2022,*Moonfall*,3446,19060660,
3/11/2022,*Turning Red*,0,0,
6/10/2022,*Jurassic World: Dominion*,4697,376851083,
7/22/2022,*Nope*,3807,123277080,
8/5/2022,*Prey*,0,0,
12/16/2022,*Avatar: The Way of Water*,4340,684075767,TRUE
6/9/2023,*Transformers: Rise of the Beasts*,3680,157066392,TRUE
8/4/2023,*Meg 2: The Trench*,3604,82553224,
9/29/2023,*The Creator*,3680,20560046,
